RTI_ID,Filing_Date,Year,Month,Month_Name,Quarter,Department,Category,Applicant_Type,State,Mode_of_Filing,PIO_Assigned,Response_Date,Response_Time_Days,Response_Status,Disposal_Type,Rejection_Reason,First_Appeal_Filed,First_Appeal_Date,First_Appeal_Outcome,Second_Appeal_CIC,Second_Appeal_Outcome,Is_Repeat_Filer,Compliant_Response,Breach_Days,Filing_YearMonth,Financial_Year,Escalated_to_CIC,Proactive_Disclosure_Candidate
HPCL-RTI-00001,2014-08-01,2014,8,August,Q3,Projects & Pipelines,Tender & Contract Details,Individual Citizen,Rajasthan,By Post,PIO-009,2014-08-31,30,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-08,FY 2014-15,No,Yes
HPCL-RTI-00002,2014-03-17,2014,3,March,Q1,Procurement & Materials,Vendor Empanelment,Journalist / Media,Tamil Nadu,Offline (In-Person),PIO-008,2014-04-07,21,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-03,FY 2013-14,No,No
HPCL-RTI-00003,2014-10-23,2014,10,October,Q4,Finance & Accounts,Audit Reports & Observations,Individual Citizen,Others,Offline (In-Person),PIO-002,2014-11-18,26,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-10,FY 2014-15,No,No
HPCL-RTI-00004,2014-03-02,2014,3,March,Q1,Projects & Pipelines,Environmental Compliance,Individual Citizen,Kerala,Online (RTI Online Portal),PIO-005,2014-04-11,40,Responded – Delayed (31–60 days),Rejected,Section 8(1)(e) – Fiduciary Relationship,No,,Not Applicable,No,Not Applicable,No,No,10,2014-03,FY 2013-14,No,No
HPCL-RTI-00005,2014-09-02,2014,9,September,Q3,Procurement & Materials,Expenditure Details,Business Entity,Haryana,By Post,PIO-007,2014-09-23,21,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-09,FY 2014-15,No,No
HPCL-RTI-00006,2014-05-07,2014,5,May,Q2,Procurement & Materials,Tender & Contract Details,Individual Citizen,Maharashtra,By Post,PIO-003,2014-05-28,21,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,Yes
HPCL-RTI-00007,2014-09-08,2014,9,September,Q3,Projects & Pipelines,Project Status & Timelines,Individual Citizen,Maharashtra,Offline (In-Person),PIO-005,2014-10-19,41,Responded – Delayed (31–60 days),Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,No,11,2014-09,FY 2014-15,No,No
HPCL-RTI-00008,2014-09-07,2014,9,September,Q3,Procurement & Materials,Policy & Service Rules,NGO / Civil Society,Uttar Pradesh,Online (RTI Online Portal),PIO-003,2014-10-06,29,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-09,FY 2014-15,No,No
HPCL-RTI-00009,2014-08-29,2014,8,August,Q3,Retail Marketing,Tender & Contracts,Individual Citizen,Assam,Offline (In-Person),PIO-002,2014-09-14,16,Responded On-Time,Rejected,Section 8(1)(h) – Impede Investigation/Prosecution,Yes,2014-10-04,Rejected,No,Not Applicable,Yes,Yes,0,2014-08,FY 2014-15,No,No
HPCL-RTI-00010,2014-05-15,2014,5,May,Q2,Retail Marketing,Policy & Service Rules,NGO / Civil Society,Maharashtra,By Post,PIO-011,2014-06-08,24,Responded On-Time,Transferred to Concerned Department,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,No
HPCL-RTI-00011,2014-04-10,2014,4,April,Q2,Finance & Accounts,Salary & Pay Details,Individual Citizen,Tamil Nadu,By Post,PIO-009,2014-04-27,17,Responded On-Time,Rejected,Section 8(1)(d) – Commercial Confidence / IP,Yes,2014-06-16,Partially Upheld,No,Not Applicable,No,Yes,0,2014-04,FY 2014-15,No,No
HPCL-RTI-00012,2014-08-05,2014,8,August,Q3,Finance & Accounts,Expenditure Details,Individual Citizen,West Bengal,Offline (In-Person),PIO-001,2014-08-22,17,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-08,FY 2014-15,No,No
HPCL-RTI-00013,2014-05-27,2014,5,May,Q2,Mumbai Refinery,Environmental Compliance,Individual Citizen,Madhya Pradesh,By Post,PIO-002,2014-06-23,27,Responded On-Time,Rejected,Section 8(1)(h) – Impede Investigation/Prosecution,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,No
HPCL-RTI-00014,2014-02-22,2014,2,February,Q1,Finance & Accounts,Policy & Service Rules,Individual Citizen,Delhi,Offline (In-Person),PIO-004,2014-02-27,5,Responded On-Time,Transferred to Concerned Department,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-02,FY 2013-14,No,No
HPCL-RTI-00015,2014-09-13,2014,9,September,Q3,Information Technology,Policy & Service Rules,Individual Citizen,Odisha,Offline (In-Person),PIO-004,2014-09-19,6,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-09,FY 2014-15,No,No
HPCL-RTI-00016,2014-03-08,2014,3,March,Q1,HR & Personnel,Policy & Service Rules,Journalist / Media,Gujarat,By Post,PIO-006,2014-03-26,18,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-03,FY 2013-14,No,No
HPCL-RTI-00017,2014-03-05,2014,3,March,Q1,Projects & Pipelines,Environmental Compliance,Individual Citizen,Gujarat,Offline (In-Person),PIO-007,2014-03-20,15,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-03,FY 2013-14,No,No
HPCL-RTI-00018,2014-05-15,2014,5,May,Q2,Vizag Refinery,Refinery Operations & Output,Journalist / Media,Himachal Pradesh,Online (RTI Online Portal),PIO-007,2014-06-11,27,Responded On-Time,Rejected,Section 8(1)(h) – Impede Investigation/Prosecution,Yes,2014-07-03,Upheld,No,Not Applicable,No,Yes,0,2014-05,FY 2014-15,No,No
HPCL-RTI-00019,2014-05-09,2014,5,May,Q2,Finance & Accounts,Financial Statements & Budgets,Individual Citizen,Madhya Pradesh,Offline (In-Person),PIO-001,2014-05-23,14,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-05,FY 2014-15,No,No
HPCL-RTI-00020,2014-01-25,2014,1,January,Q1,Vizag Refinery,Environmental Compliance,Individual Citizen,Delhi,By Post,PIO-001,2014-02-05,11,Responded On-Time,Information Provided,Not Applicable,Yes,2014-03-11,Partially Upheld,No,Not Applicable,No,Yes,0,2014-01,FY 2013-14,No,No
HPCL-RTI-00021,2014-06-14,2014,6,June,Q2,Projects & Pipelines,Environmental Compliance,Journalist / Media,Delhi,Online (RTI Online Portal),PIO-004,2014-07-23,39,Responded – Delayed (31–60 days),Transferred to Concerned Department,Not Applicable,No,,Not Applicable,No,Not Applicable,No,No,9,2014-06,FY 2014-15,No,No
HPCL-RTI-00022,2014-10-02,2014,10,October,Q4,HR & Personnel,Pension & Retirement Benefits,Individual Citizen,Haryana,Online (RTI Online Portal),PIO-009,2014-10-23,21,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-10,FY 2014-15,No,No
HPCL-RTI-00023,2014-09-08,2014,9,September,Q3,Finance & Accounts,Policy & Service Rules,Individual Citizen,Karnataka,Offline (In-Person),PIO-007,2014-09-29,21,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-09,FY 2014-15,No,No
HPCL-RTI-00024,2014-03-22,2014,3,March,Q1,Projects & Pipelines,Tender & Contract Details,Individual Citizen,Maharashtra,Offline (In-Person),PIO-008,2014-04-02,11,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,Yes,Yes,0,2014-03,FY 2013-14,No,Yes
HPCL-RTI-00025,2014-06-19,2014,6,June,Q2,Information Technology,IT Policy & Infrastructure,Individual Citizen,Delhi,Online (RTI Online Portal),PIO-006,2014-07-03,14,Responded On-Time,Transferred to Concerned Department,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-06,FY 2014-15,No,No
HPCL-RTI-00026,2014-02-27,2014,2,February,Q1,Retail Marketing,Tender & Contracts,Individual Citizen,Himachal Pradesh,Offline (In-Person),PIO-001,2014-03-19,20,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-02,FY 2013-14,No,No
HPCL-RTI-00027,2014-02-05,2014,2,February,Q1,LPG Division (Indane),LPG Distributorship Allotment,Lawyer / Legal Entity,Maharashtra,Offline (In-Person),PIO-004,2014-02-16,11,Responded On-Time,Partially Provided,Not Applicable,Yes,2014-04-07,Rejected,No,Not Applicable,No,Yes,0,2014-02,FY 2013-14,No,Yes
HPCL-RTI-00028,2014-11-02,2014,11,November,Q4,HR & Personnel,Pension & Retirement Benefits,Lawyer / Legal Entity,Maharashtra,Offline (In-Person),PIO-003,2014-11-28,26,Responded On-Time,Partially Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-11,FY 2014-15,No,No
HPCL-RTI-00029,2014-07-14,2014,7,July,Q3,Retail Marketing,Petrol Pump Dealership Allotment,Individual Citizen,Madhya Pradesh,By Post,PIO-009,2014-07-29,15,Responded On-Time,Information Provided,Not Applicable,No,,Not Applicable,No,Not Applicable,No,Yes,0,2014-07,FY 2014-15,No,Yes
